AssetHostname,AssetIP,AssetOS,vuln_total,critical,high,medium,low,max_cvss,last_scan
NCC-PPD,10.201.0.20,,375,255,120,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
remy,89.221.178.87,,135,112,23,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
radius.ram.nl,89.221.178.89,,128,109,19,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
KHMGT-01.StichtingSHDH.net,172.16.0.25,,120,87,33,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ctostep01,10.16.120.20,,103,76,26,0,1,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
GGZ-ARQ-PROD1.ITV-ARQ.local,192.168.19.218,,78,67,11,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPROZIS1,10.240.13.17,,276,58,218,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
Onbekend,192.168.176.86,,69,55,14,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
hor-pdc-mgt-01,10.5.20.4,Microsoft Windows Server 2012 R2 Standard Edition 6.3,349,42,304,0,3,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ECPRSVG09NTD2,10.145.145.24,,48,41,7,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
AZU-SRV070,10.4.4.70,,435,31,404,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVA07APP20,10.1.9.73,,31,24,7,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
GGZ-ARQ-TEST.ITV-ARQ.local,192.168.19.220,,30,24,6,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
GGZ-ARQ-ACCP1,192.168.19.219,,30,24,6,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
JRB-MGT-WP01.azure.jarabee.nl,10.59.3.150,,30,24,6,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVOSDB1,10.240.11.4,,224,22,202,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVOSDB2,10.240.11.7,,224,22,202,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
AZN-F5-LB.ram.nl,10.130.10.10,,46,21,25,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
ECPRSVE05APP46,10.240.13.27,Microsoft Windows Server 2022 21H2,50,19,30,0,1,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
gemba-sch-a-app-i3,172.20.200.177,,267,18,249,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ECPRSVW04APP15,10.240.21.15,,217,18,199,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVW04APP17,10.240.21.17,,213,18,195,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVFSRA1,10.240.13.72,,213,18,195,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
Robot-DC1,10.1.14.2,,191,16,175,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
gemba-sch-p-app-i7,172.20.200.47,,218,14,204,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
WIN-J41RB9FTL1P,10.56.26.76,,251,14,203,31,3,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
r11-dwh-wp-0da5.internal.reinaerde.nl,10.236.5.13,,60,14,46,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
r11-dwh-wp-f1ea,10.236.5.17,,60,14,46,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
z10-vm-app-wt04,10.254.24.187,,204,12,191,1,0,9.9000000000000003552713679,2026-04-09 18:44:34.4509560
ecprsdctx02,10.240.2.77,,159,12,114,24,9,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
z10-vm-app-wt07,10.254.24.180,,124,12,112,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
z10-vm-app-wp45,10.254.24.91,,124,12,112,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
z10-vm-app-wp07,10.254.24.120,,110,12,98,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
Onbekend,172.18.128.25,,12,12,0,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r11-dwh-wp-f1ea.internal.reinaerde.nl,10.236.5.17,,88,11,77,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
PMCCSAT110,10.17.107.70,,91,10,81,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
ECPRSVH10APP8,10.16.114.30,,35,10,25,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVH10APP7,10.16.114.29,,26,10,16,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
IVZ-LADIS,192.168.43.11,,12,9,3,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ECPRSVS12SQLA01,10.56.234.11,,110,8,102,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
cg-wvd-p-1.internal.copernicos.com,10.50.0.69,,48,8,40,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
pmc-veeamo365,10.0.8.4,,20,8,12,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
Veeam-O365.rambeheer.cloud,10.0.4.11,,20,8,12,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
vm-zombiearchief-prod-001,10.162.255.36,,17,8,9,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVG17MIG1,172.19.63.60,,91,7,84,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
DBACSVSQL22,10.40.41.36,,83,7,76,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r11-img-wp-02,10.236.5.14,,30,7,23,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
r11-test2.internal.reinaerde.nl,10.236.5.10,,30,7,23,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
Onbekend,192.168.70.35,,22,7,15,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
Onbekend,192.168.70.36,,22,7,15,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ecprg17ctx33,10.240.32.150,,120,6,96,6,12,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ECPRSVS12SQL01,10.56.234.12,,98,6,92,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
ECPRSVM14APP7,10.16.144.11,,80,6,74,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
rhel9-cis,192.168.253.192,,37,6,31,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
Onbekend,172.16.180.101,,7,6,1,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ecprg17ctx24,10.240.32.24,,100,5,80,5,10,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx27,10.240.32.25,,100,5,80,5,10,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx02,10.240.32.13,,100,5,80,5,10,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx12,10.240.32.141,,100,5,80,5,10,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
gemba-sch-p-app-m6,172.20.200.36,,41,5,36,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ECOTSVR01SQL01,10.240.202.235,,33,5,28,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
itsappram004,192.168.70.23,,12,5,7,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
VeeamM365-Mgmt,192.168.234.80,,6,5,1,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
ECPRSVE05MIG1,10.240.7.228,,104,4,100,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
Palga-SAS3,10.162.255.76,,74,4,69,0,1,9.5999999999999996447286321,2026-04-09 18:44:34.4509560
BH_RDS2,89.221.186.84,,71,4,67,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
